"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"PDL","","","","","","","","","","","2020-08-03 16:47:31.667514+10"
"AX1","","","","","","","","","","","2020-08-03 16:40:50.701474+10"
"ABP","","","","","","","","","","","2020-08-03 16:40:51.851284+10"
"AMA","","","","","","","","","","","2020-08-03 16:40:53.460538+10"
"ALL","13","0","0","0","0","$36.10","$29.80","$28.00","$30.47","$25.80","2020-08-03 16:40:55.054019+10"
"ASX","0","0","0","1","8","$86.67","$73.00","$65.00","$73.67","$83.48","2020-08-03 16:40:55.50485+10"
"AYS","","","","","","","","","","","2020-08-03 16:40:55.65026+10"
"ALX","2","0","5","0","0","$7.20","$6.88","$6.35","$6.84","$6.69","2020-08-03 16:40:57.351104+10"
"AIA","2","0","4","0","2","$7.00","$6.45","$5.70","$6.34","$5.82","2020-08-03 16:40:58.007169+10"
"APE","","","","","","","","","","","2020-08-03 16:40:59.516889+10"
"AD8","4","0","2","0","0","$7.50","$6.13","$4.56","$6.18","$5.15","2020-08-03 16:40:59.790154+10"
"AMI","2","1","0","0","0","$0.75","$0.70","$0.55","$0.67","$0.56","2020-08-03 16:41:00.09905+10"
"AST","2","0","5","0","4","$2.11","$1.88","$1.57","$1.88","$1.79","2020-08-03 16:41:02.108996+10"
"ADI","","","","","","","","","","","2020-08-03 16:41:02.41632+10"
"ASB","5","0","0","0","1","$28.64","$27.27","$18.96","$25.83","$3.25","2020-08-03 16:41:04.48215+10"
"AAC","1","0","0","0","0","$1.40","$1.40","$1.40","$1.40","$1.02","2020-08-03 16:41:04.732618+10"
"ALG","","","","","","","","","","","2020-08-03 16:41:05.807167+10"
"ARF","","","","","","","","","","","2020-08-03 16:41:07.260871+10"
"AZJ","7","1","2","0","0","$5.74","$5.58","$5.19","$5.50","$4.46","2020-08-03 16:41:16.690911+10"
"BEN","1","0","7","2","3","$8.10","$7.00","$4.24","$6.88","$6.56","2020-08-03 16:41:27.138818+10"
"ALU","2","0","6","1","1","$28.69","$24.08","$20.34","$24.12","$33.10","2020-08-03 16:40:06.729013+10"
"AUB","","","","","","","","","","","2020-08-03 16:41:28.141944+10"
"BHP","9","0","5","1","0","$59.70","$55.08","$38.38","$54.10","$37.34","2020-08-03 16:41:29.319646+10"
"BKL","0","0","0","0","0"," "," "," "," ","$70.59","2020-08-03 16:41:30.756834+10"
"API","","","","","","","","","","","2020-08-03 16:41:36.701216+10"
"BXB","7","0","4","0","0","$9.74","$7.96","$6.57","$8.35","$10.93","2020-08-03 16:41:38.870568+10"
"BRG","5","0","4","1","0","$28.00","$20.00","$14.90","$21.19","$25.63","2020-08-03 16:41:39.61142+10"
"BBN","","","","","","","","","","","2020-08-03 16:41:40.682397+10"
"BKW","3","2","1","0","0","$19.00","$17.86","$13.56","$17.35","$16.34","2020-08-03 16:41:41.037217+10"
"AVN","","","","","","","","","","","2020-08-03 16:41:43.068517+10"
"BWX","2","1","3","0","0","$5.20","$4.15","$3.29","$4.18","$3.92","2020-08-03 16:41:43.263754+10"
"BAP","","","","","","","","","","","2020-08-03 16:41:44.804974+10"
"CVN","3","0","1","0","0","$0.40","$0.35","$0.30","$0.35","$0.18","2020-08-03 16:41:45.622659+10"
"BIN","","","","","","","","","","","2020-08-03 16:41:55.865317+10"
"CGF","1","1","9","0","1","$7.50","$5.13","$3.70","$5.11","$4.35","2020-08-03 16:42:00.981707+10"
"CIA","4","0","0","0","0","$4.18","$3.55","$3.00","$3.57","$2.81","2020-08-03 16:42:03.110031+10"
"BVS","","","","","","","","","","","2020-08-03 16:42:03.902743+10"
"CHC","7","0","0","0","1","$12.54","$11.30","$6.42","$10.57","$10.53","2020-08-03 16:42:05.387623+10"
"BUB","","","","","","","","","","","2020-08-03 16:42:08.152507+10"
"CQE","5","0","0","0","0","$3.20","$2.98","$2.79","$2.99","$2.34","2020-08-03 16:42:12.666993+10"
"BWP","","","","","","","","","","","2020-08-03 16:42:13.620541+10"
"CIM","3","0","2","1","0","$34.00","$23.20","$21.70","$26.78","$21.02","2020-08-03 16:42:14.259967+10"
"CNU","1","0","2","0","1","$7.70","$7.18","$6.50","$7.14","$6.93","2020-08-03 16:42:14.873559+10"
"CWY","3","1","4","0","0","$2.60","$2.45","$1.88","$2.32","$2.12","2020-08-03 16:42:16.58213+10"
"CUV","1","0","0","0","0","$32.15","$32.15","$32.15","$32.15","$21.68","2020-08-03 16:42:17.333569+10"
"CWP","","","","","","","","","","","2020-08-03 16:42:18.761687+10"
"CIP","","","","","","","","","","","2020-08-03 16:42:19.83066+10"
"COF","","","","","","","","","","","2020-08-03 16:42:20.842107+10"
"COL","7","0","4","1","0","$20.50","$18.15","$14.68","$17.74","$18.46","2020-08-03 16:42:21.539551+10"
"CNI","","","","","","","","","","","2020-08-03 16:42:21.595112+10"
"CCL","1","0","9","2","0","$9.85","$9.10","$7.60","$9.10","$8.13","2020-08-03 16:42:22.076898+10"
"CDA","3","1","1","0","0","$9.00","$8.50","$8.44","$8.65","$8.27","2020-08-03 16:42:23.422292+10"
"CBA","2","0","5","1","6","$78.00","$66.40","$50.45","$66.43","$69.93","2020-08-03 16:42:23.633103+10"
"COE","6","0","3","0","0","$0.65","$0.50","$0.40","$0.53","$0.37","2020-08-03 16:42:24.653211+10"
"CPU","5","1","2","0","2","$11.36","$9.73","$6.90","$9.41","$13.45","2020-08-03 16:42:24.839186+10"
"CGC","5","1","1","0","0","$3.80","$3.40","$2.87","$3.40","$2.93","2020-08-03 16:42:26.178916+10"
"CLW","","","","","","","","","","","2020-08-03 16:42:28.20624+10"
"CTD","4","0","4","0","1","$13.75","$12.97","$6.00","$11.67","$8.18","2020-08-03 16:42:29.186833+10"
"CQR","","","","","","","","","","","2020-08-03 16:42:30.396359+10"
"CSR","4","0","4","2","2","$4.77","$3.86","$3.10","$3.87","$3.50","2020-08-03 16:42:31.328345+10"
"DCN","2","0","2","0","1","$0.50","$0.40","$0.22","$0.37","$0.35","2020-08-03 16:42:39.446986+10"
"DOW","4","1","4","0","0","$6.92","$4.61","$4.34","$4.93","$4.05","2020-08-03 16:42:43.556179+10"
"DMP","2","1","4","0","4","$70.00","$63.22","$40.00","$60.23","$74.34","2020-08-03 16:42:43.878391+10"
"ELD","5","1","1","1","0","$13.65","$11.68","$7.73","$11.40","$10.23","2020-08-03 16:42:48.753127+10"
"CKF","","","","","","","","","","","2020-08-03 16:42:52.532535+10"
"FBU","2","1","10","0","0","$5.50","$3.86","$3.55","$4.04","$3.13","2020-08-03 16:43:04.930966+10"
"DHG","","","","","","","","","","","2020-08-03 16:43:27.208438+10"
"DTL","","","","","","","","","","","2020-08-03 16:43:27.353956+10"
"CCP","","","","","","","","","","","2020-08-03 16:43:28.935741+10"
"GMG","3","0","4","1","1","$18.75","$16.59","$11.25","$15.76","$16.94","2020-08-03 16:43:29.808575+10"
"GOR","4","1","1","0","1","$2.15","$2.00","$1.80","$1.97","$1.90","2020-08-03 16:43:34.024531+10"
"EHE","","","","","","","","","","","2020-08-03 16:43:40.53225+10"
"GOZ","2","0","1","0","0","$3.34","$3.30","$3.06","$3.23","$3.14","2020-08-03 16:43:55.550249+10"
"GUD","1","0","8","0","0","$14.20","$11.60","$10.60","$11.94","$11.41","2020-08-03 16:43:55.569897+10"
"GPT","7","0","0","1","1","$5.43","$4.70","$4.15","$4.64","$3.85","2020-08-03 16:43:56.631317+10"
"FXL","","","","","","","","","","","2020-08-03 16:43:57.542369+10"
"HLS","3","0","6","0","0","$3.70","$3.26","$2.90","$3.26","$3.18","2020-08-03 16:43:58.200916+10"
"GDI","","","","","","","","","","","2020-08-03 16:44:02.559944+10"
"GWA","2","0","5","0","0","$3.25","$2.95","$2.80","$2.98","$2.77","2020-08-03 16:44:02.626261+10"
"GEM","","","","","","","","","","","2020-08-03 16:44:04.027093+10"
"GMA","","","","","","","","","","","2020-08-03 16:44:06.547256+10"
"IFN","1","0","4","0","0","$0.92","$0.89","$0.52","$0.83","$0.92","2020-08-03 16:44:27.694233+10"
"IGO","7","1","6","1","2","$6.00","$5.33","$3.50","$5.11","$4.66","2020-08-03 16:44:34.973773+10"
"ILU","5","0","4","0","0","$11.00","$10.00","$8.90","$9.97","$9.20","2020-08-03 16:44:37.020542+10"
"HT1","","","","","","","","","","","2020-08-03 16:44:39.249507+10"
"HSN","","","","","","","","","","","2020-08-03 16:44:41.235082+10"
"HPI","","","","","","","","","","","2020-08-03 16:44:41.520001+10"
"HUB","","","","","","","","","","","2020-08-03 16:44:45.91381+10"
"IPL","4","0","5","1","0","$2.15","$1.62","$1.29","$1.67","$1.88","2020-08-03 16:44:48.460462+10"
"IAP","","","","","","","","","","","2020-08-03 16:44:49.544289+10"
"IFM","","","","","","","","","","","2020-08-03 16:44:53.378142+10"
"ITG","1","0","0","0","0","$0.49","$0.49","$0.49","$0.49","$0.31","2020-08-03 16:44:54.693359+10"
"IGL","","","","","","","","","","","2020-08-03 16:44:56.5002+10"
"JHC","0","0","0","0","0"," "," "," "," ","$0.47","2020-08-03 16:44:58.186793+10"
"KGN","2","0","2","0","0","$20.00","$15.19","$12.10","$15.62","$18.25","2020-08-03 16:45:01.849583+10"
"KAR","4","0","0","0","0","$1.50","$1.38","$1.14","$1.35","$0.72","2020-08-03 16:45:03.220784+10"
"LLC","5","1","2","0","0","$16.55","$13.75","$12.50","$14.07","$11.00","2020-08-03 16:45:05.770598+10"
"ING","","","","","","","","","","","2020-08-03 16:45:10.993362+10"
"IPH","","","","","","","","","","","2020-08-03 16:45:11.209893+10"
"LYC","5","1","0","0","0","$4.50","$3.00","$2.40","$3.20","$2.33","2020-08-03 16:45:12.037324+10"
"MFG","0","0","0","0","0"," "," "," "," ","$61.36","2020-08-03 16:45:14.469253+10"
"MGR","5","1","3","0","0","$2.80","$2.59","$2.23","$2.55","$2.10","2020-08-03 16:45:14.560289+10"
"MIN","1","0","5","0","0","$26.50","$20.23","$18.80","$21.86","$26.41","2020-08-03 16:45:16.839314+10"
"MGX","1","0","1","0","0","$1.00","$0.88","$0.75","$0.88","$0.71","2020-08-03 16:45:16.91928+10"
"ISX","","","","","","","","","","","2020-08-03 16:45:18.065062+10"
"MLD","0","0","0","0","0"," "," "," "," ","$0.88","2020-08-03 16:45:18.816322+10"
"MMS","0","0","0","0","0"," "," "," "," ","$8.53","2020-08-03 16:45:19.460357+10"
"IVC","","","","","","","","","","","2020-08-03 16:45:20.370351+10"
"MP1","4","0","5","0","0","$17.00","$14.54","$12.45","$14.75","$13.21","2020-08-03 16:45:20.773828+10"
"MQG","8","0","5","1","0","$150.00","$127.32","$105.00","$127.71","$121.99","2020-08-03 16:45:23.132515+10"
"MND","4","1","5","2","2","$14.35","$11.16","$9.35","$11.71","$7.99","2020-08-03 16:45:24.910763+10"
"MTS","6","0","3","2","0","$3.60","$3.13","$2.90","$3.15","$2.77","2020-08-03 16:45:25.785481+10"
"JIN","","","","","","","","","","","2020-08-03 16:45:26.170743+10"
"LIC","","","","","","","","","","","2020-08-03 16:45:27.440275+10"
"MYR","2","0","0","0","0","$0.65","$0.48","$0.30","$0.48","$0.20","2020-08-03 16:45:28.481387+10"
"LOV","","","","","","","","","","","2020-08-03 16:45:31.741714+10"
"NAB","10","1","2","0","0","$8.60","$7.31","$6.09","$7.28","$16.94","2020-08-03 16:45:33.503283+10"
"NAN","2","0","0","1","0","$7.50","$6.92","$6.00","$6.81","$6.11","2020-08-03 16:45:33.857325+10"
"NCZ","3","0","0","0","0","$0.50","$0.50","$0.48","$0.49","$0.20","2020-08-03 16:45:38.901199+10"
"NGI","1","0","0","0","0","$1.10","$1.10","$1.10","$1.10","$1.29","2020-08-03 16:45:39.168467+10"
"NHC","1","2","2","0","1","$2.50","$1.60","$1.10","$1.66","$1.29","2020-08-03 16:45:43.901242+10"
"NIC","4","0","1","0","0","$0.75","$0.72","$0.53","$0.68","$0.59","2020-08-03 16:45:45.709494+10"
"MNY","","","","","","","","","","","2020-08-03 16:45:49.854925+10"
"NST","3","0","9","1","3","$18.00","$15.00","$11.60","$14.90","$15.87","2020-08-03 16:45:53.306613+10"
"NCK","","","","","","","","","","","2020-08-03 16:45:59.865771+10"
"MYS","","","","","","","","","","","2020-08-03 16:46:00.59798+10"
"OFX","0","0","1","0","0","$1.70","$1.70","$1.70","$1.70","$1.24","2020-08-03 16:46:03.549262+10"
"MVF","","","","","","","","","","","2020-08-03 16:46:05.321268+10"
"ORA","1","0","10","0","0","$3.30","$2.73","$2.52","$2.79","$2.34","2020-08-03 16:46:12.159742+10"
"ORG","9","1","2","0","0","$8.45","$6.95","$5.70","$6.94","$5.54","2020-08-03 16:46:15.621891+10"
"NEC","","","","","","","","","","","2020-08-03 16:46:16.067985+10"
"OSH","9","1","4","0","0","$19.55","$13.84","$9.95","$13.50","$2.93","2020-08-03 16:46:21.468036+10"
"NSR","","","","","","","","","","","2020-08-03 16:46:29.302814+10"
"NWH","","","","","","","","","","","2020-08-03 16:46:33.946882+10"
"NWL","","","","","","","","","","","2020-08-03 16:46:39.754181+10"
"PDN","0","0","0","0","0"," "," "," "," ","$0.13","2020-08-03 16:46:42.391949+10"
"OML","","","","","","","","","","","2020-08-03 16:46:59.965413+10"
"PNV","1","2","2","0","0","$2.90","$2.83","$2.60","$2.79","$2.19","2020-08-03 16:47:09.981494+10"
"PRN","5","1","1","0","0","$2.00","$1.90","$1.35","$1.81","$1.17","2020-08-03 16:47:26.843923+10"
"NXT","","","","","","","","","","","2020-08-03 16:47:29.544086+10"
"APX","7","1","2","0","0","$42.56","$33.94","$30.00","$34.53","$36.78","2020-08-03 16:40:42.854837+10"
"ARB","1","1","2","0","0","$19.70","$19.10","$18.75","$19.18","$19.59","2020-08-03 16:40:42.43173+10"
"QUB","4","1","4","0","1","$3.50","$3.09","$2.45","$3.10","$2.72","2020-08-03 16:47:43.958097+10"
"PMV","","","","","","","","","","","2020-08-03 16:47:47.415378+10"
"RFF","3","1","0","0","0","$2.40","$2.30","$2.30","$2.33","$2.03","2020-08-03 16:47:53.354311+10"
"PNI","","","","","","","","","","","2020-08-03 16:47:54.785502+10"
"RHC","7","0","2","1","2","$78.25","$71.60","$41.50","$67.28","$62.65","2020-08-03 16:47:58.393219+10"
"RMS","3","0","1","0","0","$2.46","$2.36","$2.00","$2.29","$2.15","2020-08-03 16:48:11.836762+10"
"PTM","","","","","","","","","","","2020-08-03 16:48:32.6186+10"
"RDC","","","","","","","","","","","2020-08-03 16:48:44.427271+10"
"REG","","","","","","","","","","","2020-08-03 16:49:21.542098+10"
"SHV","2","1","2","0","0","$10.23","$6.60","$6.10","$7.42","$5.83","2020-08-03 16:50:19.671109+10"
"SLR","2","1","2","0","0","$2.70","$2.47","$2.25","$2.48","$2.52","2020-08-03 16:50:21.590987+10"
"SDF","","","","","","","","","","","2020-08-03 16:50:28.696469+10"
"STO","9","2","4","0","0","$5.34","$4.45","$3.56","$4.49","$5.31","2020-08-03 16:50:37.013195+10"
"SGF","","","","","","","","","","","2020-08-03 16:50:46.849348+10"
"SWM","2","1","2","0","0","$0.45","$0.16","$0.10","$0.22","$0.10","2020-08-03 16:50:51.190305+10"
"SXY","8","0","1","0","0","$0.60","$0.41","$0.30","$0.41","$0.27","2020-08-03 16:50:53.037282+10"
"SYD","6","1","2","1","2","$7.11","$6.50","$4.50","$6.20","$5.19","2020-08-03 16:50:53.347869+10"
"SYR","1","0","2","0","1","$0.51","$0.29","$0.12","$0.30","$0.35","2020-08-03 16:50:54.698425+10"
"TAH","3","1","5","1","2","$5.00","$3.68","$2.60","$3.62","$3.50","2020-08-03 16:50:55.370894+10"
"SIG","","","","","","","","","","","2020-08-03 16:50:55.804378+10"
"SIQ","","","","","","","","","","","2020-08-03 16:50:56.710693+10"
"TCL","3","1","7","0","2","$16.74","$14.41","$11.70","$14.22","$13.93","2020-08-03 16:50:57.269302+10"
"TGR","2","0","0","0","0","$5.35","$4.63","$3.90","$4.63","$3.54","2020-08-03 16:50:57.667532+10"
"TLS","8","0","1","1","0","$4.40","$3.80","$3.29","$3.85","$3.40","2020-08-03 16:50:57.731822+10"
"TWE","4","1","8","0","1","$11.00","$8.13","$6.96","$8.65","$10.74","2020-08-03 16:50:59.181136+10"
"VCX","2","0","6","1","1","$1.82","$1.50","$1.28","$1.52","$1.27","2020-08-03 16:50:59.280738+10"
"VOC","3","0","4","2","0","$4.10","$3.60","$3.25","$3.59","$2.89","2020-08-03 16:51:01.130022+10"
"SLC","","","","","","","","","","","2020-08-03 16:51:01.647858+10"
"VRL","1","0","0","0","0","$2.61","$2.61","$2.61","$2.61","$2.14","2020-08-03 16:51:02.617595+10"
"VRT","0","0","0","0","0"," "," "," "," ","$2.65","2020-08-03 16:51:04.154448+10"
"WAF","2","1","1","0","0","$1.85","$1.20","$1.00","$1.29","$1.10","2020-08-03 16:51:05.092587+10"
"SM1","","","","","","","","","","","2020-08-03 16:51:05.374239+10"
"WBC","0","1","0","0","0","$16.47","$13.22","$9.17","$13.59","$16.49","2020-08-03 16:51:05.627565+10"
"SSM","","","","","","","","","","","2020-08-03 16:51:05.640035+10"
"WHC","10","1","2","0","2","$4.00","$2.28","$1.30","$2.23","$1.33","2020-08-03 16:51:06.988373+10"
"WEB","4","0","2","0","2","$5.35","$3.80","$2.75","$3.90","$2.63","2020-08-03 16:51:07.099956+10"
"WES","0","0","10","1","2","$44.50","$41.00","$37.60","$40.87","$45.90","2020-08-03 16:51:07.529855+10"
"WGX","3","0","0","0","0","$3.25","$2.90","$2.80","$2.98","$2.39","2020-08-03 16:51:07.600837+10"
"WOW","5","1","5","0","0","$323.66","$289.82","$244.07","$284.62","$39.04","2020-08-03 16:51:08.451829+10"
"WOR","6","3","2","0","1","$13.65","$11.45","$8.40","$11.48","$7.82","2020-08-03 16:51:08.865647+10"
"WPL","9","1","5","0","0","$23.67","$17.51","$14.05","$17.27","$20.05","2020-08-03 16:51:09.10851+10"
"WSA","8","0","6","1","0","$3.25","$2.70","$2.30","$2.72","$2.42","2020-08-03 16:51:10.286467+10"
"WTC","4","0","0","1","1","$27.00","$23.30","$18.75","$22.71","$21.32","2020-08-03 16:51:10.554223+10"
"XRO","3","2","4","1","3","$112.44","$87.32","$59.54","$85.88","$91.75","2020-08-03 16:51:11.024641+10"
"SXL","","","","","","","","","","","2020-08-03 16:51:16.662425+10"
"UMG","","","","","","","","","","","2020-08-03 16:51:22.469617+10"
"TNE","","","","","","","","","","","2020-08-03 16:51:25.830773+10"
"VEA","","","","","","","","","","","2020-08-03 16:51:27.434775+10"
"WPP","","","","","","","","","","","2020-08-03 16:51:33.27534+10"
"Z1P","","","","","","","","","","","2020-08-03 16:51:34.437584+10"
"ABC","2","1","5","2","5","$3.20","$2.20","$1.85","$2.29","$2.21","2020-08-03 17:10:05.787344+10"
"AMP","2","0","5","1","2","$2.50","$1.55","$1.20","$1.64","$1.47","2020-08-03 17:10:05.858123+10"
"AWC","8","0","2","0","1","$1.47","$1.36","$0.93","$1.32","$1.53","2020-08-03 17:10:06.562793+10"
"ALQ","0","0","0","0","0"," "," "," "," ","$8.45","2020-08-03 17:10:06.777398+10"
"AGL","0","0","4","2","4","$19.35","$16.16","$13.70","$16.23","$16.68","2020-08-03 17:10:07.283896+10"
"APT","5","0","6","0","1","$101.00","$70.07","$27.00","$68.76","$66.50","2020-08-03 17:10:07.530636+10"
"AHY","2","1","1","0","0","$1.30","$1.25","$1.02","$1.19","$0.96","2020-08-03 17:10:08.195723+10"
"APA","4","0","4","1","0","$12.51","$11.31","$10.70","$11.43","$11.19","2020-08-03 17:10:08.473344+10"
"ANN","2","0","3","0","2","$120.82","$86.25","$82.13","$93.42","$39.04","2020-08-03 17:10:08.707412+10"
"BPT","8","1","5","1","0","$2.25","$1.81","$1.25","$1.79","$1.43","2020-08-03 17:10:09.944167+10"
"BGL","4","0","0","0","0","$1.55","$1.36","$1.30","$1.39","$1.07","2020-08-03 17:10:10.080438+10"
"ANZ","8","1","3","0","2","$26.20","$20.55","$12.47","$20.82","$17.22","2020-08-03 17:10:11.057272+10"
"BLD","2","0","6","0","2","$5.00","$4.05","$3.00","$3.91","$3.58","2020-08-03 17:10:13.858469+10"
"ECX","0","0","0","0","0"," "," "," "," ","$1.32","2020-08-03 17:10:16.697982+10"
"CDD","1","0","0","0","0","$0.56","$0.56","$0.56","$0.56","$0.32","2020-08-03 17:10:17.473364+10"
"COH","3","1","4","0","5","$209.41","$194.75","$140.00","$185.33","$198.89","2020-08-03 17:10:18.788914+10"
"FLT","6","0","4","0","0","$17.00","$13.00","$11.25","$13.75","$9.93","2020-08-03 17:10:21.465896+10"
"A2M","4","1","2","0","1","$23.35","$21.85","$13.85","$20.82","$19.43","2020-08-03 17:10:22.750275+10"
"FPH","4","1","2","1","4","$39.26","$29.40","$19.50","$30.03","$33.58","2020-08-03 17:10:23.872634+10"
"IMD","3","0","1","0","0","$1.51","$1.40","$1.30","$1.40","$1.32","2020-08-03 17:10:29.199786+10"
"INA","1","0","0","0","0","$5.25","$5.25","$5.25","$5.25","$4.59","2020-08-03 17:10:30.408091+10"
"IRE","0","0","0","0","0"," "," "," "," ","$10.27","2020-08-03 17:10:31.146637+10"
"JMS","4","0","0","0","0","$0.53","$0.44","$0.35","$0.44","$0.29","2020-08-03 17:10:33.877214+10"
"MPL","3","0","5","0","1","$3.60","$2.96","$2.70","$2.98","$2.84","2020-08-03 17:10:34.808947+10"
"MYX","2","0","4","0","0","$0.75","$0.45","$0.43","$0.51","$0.38","2020-08-03 17:10:36.60119+10"
"NHF","0","0","0","0","0"," "," "," "," ","$4.49","2020-08-03 17:10:38.855586+10"
"MSB","6","0","1","0","0","$23.00","$16.00","$7.53","$16.90","$3.85","2020-08-03 17:10:41.558683+10"
"PLS","1","0","1","0","4","$0.40","$0.28","$0.20","$0.29","$0.35","2020-08-03 17:10:42.319893+10"
"NEA","7","0","0","0","0","$3.25","$2.60","$2.30","$2.73","$2.29","2020-08-03 17:10:44.496539+10"
"PGH","2","1","1","0","0","$2.60","$2.53","$2.50","$2.54","$2.03","2020-08-03 17:10:44.837031+10"
"QBE","8","0","1","0","2","$8.96","$8.02","$5.71","$7.73","$10.02","2020-08-03 17:10:45.805007+10"
"PME","1","0","3","0","0","$30.00","$30.00","$29.65","$29.88","$24.31","2020-08-03 17:10:46.264219+10"
"QAN","7","0","2","0","1","$5.31","$4.60","$3.00","$4.48","$3.20","2020-08-03 17:10:46.699128+10"
"ORI","6","0","4","1","0","$20.75","$18.50","$15.55","$18.35","$17.13","2020-08-03 17:10:48.219072+10"
"RSG","7","1","1","0","0","$1.57","$1.18","$0.93","$1.18","$1.36","2020-08-03 17:10:48.366601+10"
"PPT","3","2","4","0","0","$45.00","$37.62","$33.50","$38.34","$30.11","2020-08-03 17:10:48.871057+10"
"RWC","5","2","2","0","1","$3.65","$3.27","$2.65","$3.26","$2.59","2020-08-03 17:10:49.10792+10"
"SCG","3","0","4","1","1","$3.63","$2.28","$2.04","$2.48","$1.93","2020-08-03 17:10:54.011189+10"
"SAR","3","0","8","0","1","$6.90","$6.00","$5.25","$5.93","$6.23","2020-08-03 17:10:54.956168+10"
"SCP","1","0","5","0","2","$2.70","$2.22","$1.87","$2.23","$2.19","2020-08-03 17:10:55.233077+10"
"SGR","7","0","4","0","0","$4.45","$3.56","$2.70","$3.59","$2.51","2020-08-03 17:10:58.547361+10"
"SDA","0","0","1","0","0","$0.78","$0.78","$0.78","$0.78","$0.79","2020-08-03 17:10:59.6495+10"
"SFR","8","1","5","0","1","$6.80","$5.60","$4.50","$5.68","$4.80","2020-08-03 17:10:59.927383+10"
"SOL","0","0","1","0","0","$20.04","$20.04","$20.04","$20.04","$19.90","2020-08-03 17:11:01.220375+10"
"SPL","1","0","0","0","0","$1.75","$1.75","$1.75","$1.75","$1.05","2020-08-03 17:11:02.439481+10"
"SPK","1","0","2","0","1","$5.00","$4.75","$4.00","$4.63","$4.59","2020-08-03 17:11:05.458483+10"
"SUN","5","0","3","1","2","$11.82","$9.50","$7.60","$9.72","$8.49","2020-08-03 17:11:05.740536+10"
"SVW","4","1","1","0","0","$20.35","$19.05","$16.00","$18.31","$16.96","2020-08-03 17:11:08.237467+10"
"BGA","2","0","3","0","0","$5.90","$5.00","$4.17","$5.12","$4.45","2020-08-03 17:40:05.637365+10"
"CAR","4","0","8","1","1","$20.17","$17.43","$14.58","$17.28","$18.46","2020-08-03 17:40:05.947233+10"
"CMW","0","0","2","0","1","$1.12","$1.08","$0.60","$0.93","$0.89","2020-08-03 17:40:05.950129+10"
"CSL","7","1","5","0","0","$238.55","$222.18","$182.77","$216.33","$277.15","2020-08-03 17:40:06.19972+10"
"BOQ","1","0","7","2","2","$10.17","$7.88","$5.99","$8.13","$5.77","2020-08-03 17:40:06.348308+10"
"BSL","6","0","3","1","1","$17.50","$12.68","$10.00","$13.14","$11.35","2020-08-03 17:40:06.52633+10"
"EHL","5","1","2","0","0","$2.15","$1.40","$1.09","$1.44","$0.96","2020-08-03 17:40:06.718035+10"
"CWN","7","1","3","0","0","$12.00","$10.40","$8.50","$10.21","$8.72","2020-08-03 17:40:06.759711+10"
"DXS","0","0","0","0","0"," "," "," "," ","$8.52","2020-08-03 17:40:06.838575+10"
"EVN","2","0","4","0","8","$7.00","$5.33","$4.08","$5.37","$6.07","2020-08-03 17:40:07.744553+10"
"FAR","3","0","1","0","0","$0.02","$0.02","$0.02","$0.02","$0.01","2020-08-03 17:40:07.749526+10"
"FMG","2","0","14","0","2","$12.91","$9.53","$6.91","$9.92","$17.87","2020-08-03 17:40:08.103774+10"
"EML","3","1","1","0","0","$4.31","$4.20","$3.66","$4.11","$2.95","2020-08-03 17:40:08.17128+10"
"GXY","2","0","5","0","2","$0.96","$0.66","$0.28","$0.68","$1.11","2020-08-03 17:40:08.331988+10"
"FNP","2","0","3","0","0","$8.24","$4.33","$2.60","$4.64","$3.01","2020-08-03 17:40:08.528448+10"
"GNC","3","1","4","0","0","$5.00","$4.62","$4.15","$4.60","$3.62","2020-08-03 17:40:08.573778+10"
"HVN","5","1","4","0","0","$4.80","$4.10","$3.85","$4.22","$3.63","2020-08-03 17:40:08.709351+10"
"IEL","5","0","1","0","0","$19.00","$17.00","$12.49","$16.70","$13.28","2020-08-03 17:40:09.184109+10"
"INR","1","0","0","0","0","$0.50","$0.50","$0.50","$0.50","$0.12","2020-08-03 17:40:09.249264+10"
"IAG","5","1","5","0","1","$6.55","$6.10","$4.70","$5.93","$5.10","2020-08-03 17:40:09.427473+10"
"JBH","2","0","7","0","4","$48.20","$41.00","$34.20","$40.61","$44.62","2020-08-03 17:40:09.752299+10"
"IFL","2","0","4","0","1","$5.50","$4.70","$4.20","$4.79","$4.48","2020-08-03 17:40:09.987432+10"
"IRI","0","0","1","0","0","$4.25","$4.25","$4.25","$4.25","$4.16","2020-08-03 17:40:10.584341+10"
"LNK","5","0","1","1","1","$5.90","$4.63","$3.50","$4.65","$3.94","2020-08-03 17:40:10.597137+10"
"MAH","2","0","0","0","0","$0.37","$0.36","$0.35","$0.36","$0.26","2020-08-03 17:40:10.931414+10"
"NUF","5","0","4","0","3","$6.74","$4.90","$4.60","$5.20","$3.96","2020-08-03 17:40:11.12813+10"
"PET","0","0","0","0","0"," "," "," "," ","$0.21","2020-08-03 17:40:11.138627+10"
"ORE","4","0","5","0","2","$3.24","$1.71","$1.34","$2.10","$2.96","2020-08-03 17:40:11.263514+10"
"NCM","4","1","7","1","1","$29.21","$26.08","$20.06","$25.29","$35.65","2020-08-03 17:40:11.522274+10"
"REA","4","1","6","0","1","$126.00","$105.00","$88.76","$104.69","$109.30","2020-08-03 17:40:11.838402+10"
"S32","14","1","2","0","2","$2.10","$1.77","$1.29","$1.74","$2.04","2020-08-03 17:40:11.904782+10"
