"code","buy","overweight","hold","underweight","sell","high","median","low","avearge","current","sys_load_time"
"BKL","0","0","0","0","0"," "," "," "," ","$71.58","2020-08-25 17:10:10.421924+10"
"BKW","3","2","0","0","0","$19.00","$17.88","$17.80","$18.10","$18.09","2020-08-25 17:10:10.555947+10"
"CDD","1","0","0","0","0","$0.56","$0.56","$0.56","$0.56","$0.34","2020-08-25 17:10:10.84286+10"
"CAR","3","0","9","2","1","$23.26","$19.09","$16.20","$19.36","$20.97","2020-08-25 17:10:10.949128+10"
"COL","7","0","5","1","1","$21.50","$19.80","$16.16","$19.51","$18.83","2020-08-25 17:10:11.514+10"
"CQE","5","0","0","0","0","$3.23","$3.02","$2.79","$3.01","$2.62","2020-08-25 17:10:11.594609+10"
"COH","4","1","4","0","7","$236.00","$198.00","$152.25","$197.67","$201.75","2020-08-25 17:10:11.635874+10"
"CUV","1","0","0","0","0","$32.15","$32.15","$32.15","$32.15","$23.33","2020-08-25 17:10:11.662069+10"
"CDA","3","0","2","1","0","$11.48","$10.85","$10.25","$10.86","$11.31","2020-08-25 17:10:11.923157+10"
"ECX","0","0","0","0","0"," "," "," "," ","$1.46","2020-08-25 17:10:12.605697+10"
"CPU","5","1","2","1","2","$11.30","$10.02","$7.71","$9.81","$13.64","2020-08-25 17:10:12.711181+10"
"ELD","5","1","1","1","0","$13.65","$11.68","$7.73","$11.40","$10.18","2020-08-25 17:10:12.766281+10"
"EML","2","1","2","0","0","$4.48","$4.20","$3.66","$4.09","$3.21","2020-08-25 17:10:12.772205+10"
"A2M","7","0","4","1","2","$25.00","$21.85","$14.65","$21.41","$18.18","2020-08-25 17:10:12.85389+10"
"COE","7","0","3","0","0","$0.65","$0.50","$0.40","$0.52","$0.35","2020-08-25 17:10:12.967852+10"
"DMP","2","0","4","1","5","$96.50","$77.50","$50.00","$76.22","$85.79","2020-08-25 17:10:13.017966+10"
"FAR","3","0","1","0","0","$0.02","$0.02","$0.02","$0.02","$0.01","2020-08-25 17:10:13.026935+10"
"FBU","2","1","11","0","0","$4.90","$3.74","$3.50","$3.87","$3.10","2020-08-25 17:10:13.79706+10"
"FLT","6","0","5","1","1","$18.53","$13.46","$6.50","$13.68","$13.29","2020-08-25 17:10:13.861612+10"
"FNP","2","0","3","0","0","$8.24","$4.33","$2.60","$4.64","$3.01","2020-08-25 17:10:13.870345+10"
"GNC","3","1","4","0","0","$5.00","$4.62","$4.15","$4.60","$4.24","2020-08-25 17:10:13.957679+10"
"FPH","4","1","2","1","5","$40.61","$32.25","$20.20","$32.25","$32.85","2020-08-25 17:10:14.297242+10"
"GOR","4","1","1","0","1","$2.25","$2.00","$1.80","$2.01","$1.60","2020-08-25 17:10:14.407937+10"
"MAH","3","0","0","0","0","$0.44","$0.36","$0.35","$0.38","$0.28","2020-08-26 16:42:52.509884+10"
"AGL","1","0","4","2","5","$17.30","$14.57","$12.60","$14.69","$15.07","2020-08-26 16:40:06.525777+10"
"AWC","8","0","2","0","1","$1.51","$1.41","$0.93","$1.35","$1.65","2020-08-26 16:40:07.576025+10"
"ALQ","0","0","0","0","0"," "," "," "," ","$9.04","2020-08-26 16:40:08.88886+10"
"ANN","2","0","4","1","3","$126.85","$107.83","$87.25","$110.06","$40.21","2020-08-26 16:40:10.606073+10"
"AMP","2","0","7","1","2","$2.60","$1.60","$1.20","$1.62","$1.49","2020-08-26 16:40:10.629816+10"
"APA","2","0","3","1","0","$12.68","$11.58","$10.79","$11.65","$10.57","2020-08-26 16:40:11.385228+10"
"APX","6","1","3","0","0","$48.10","$37.75","$30.00","$37.86","$43.50","2020-08-26 16:40:12.683319+10"
"ARB","0","1","4","0","1","$27.00","$23.45","$20.50","$23.36","$25.79","2020-08-26 16:40:13.218418+10"
"AX1","","","","","","","","","","","2020-08-26 16:40:31.674758+10"
"ALL","12","0","1","0","0","$36.60","$29.80","$28.00","$30.43","$28.76","2020-08-26 16:40:34.069972+10"
"AMA","","","","","","","","","","","2020-08-26 16:40:34.288915+10"
"ABP","","","","","","","","","","","2020-08-26 16:40:34.56007+10"
"AYS","","","","","","","","","","","2020-08-26 16:40:34.892957+10"
"AHY","3","1","1","1","0","$1.30","$1.24","$1.10","$1.22","$1.10","2020-08-26 16:40:35.731767+10"
"ASX","0","0","2","1","9","$88.36","$75.00","$66.50","$75.45","$88.70","2020-08-26 16:40:36.162354+10"
"ALX","2","0","5","0","0","$7.20","$6.88","$6.35","$6.84","$6.36","2020-08-26 16:40:36.739602+10"
"APE","","","","","","","","","","","2020-08-26 16:40:36.894337+10"
"ADI","","","","","","","","","","","2020-08-26 16:40:37.304298+10"
"AIA","2","0","6","0","1","$7.07","$6.82","$5.80","$6.65","$6.01","2020-08-26 16:40:38.012768+10"
"AD8","3","0","3","0","0","$7.50","$5.73","$4.62","$6.04","$5.30","2020-08-26 16:40:38.891649+10"
"AMI","2","1","0","0","0","$0.75","$0.70","$0.60","$0.68","$0.50","2020-08-26 16:40:38.909457+10"
"AZJ","9","0","3","0","0","$5.77","$5.49","$4.91","$5.39","$4.39","2020-08-26 16:40:39.463496+10"
"ALG","","","","","","","","","","","2020-08-26 16:40:39.555866+10"
"ASB","5","0","0","0","1","$31.56","$29.87","$21.52","$28.12","$3.55","2020-08-26 16:40:40.320851+10"
"AAC","1","0","0","0","0","$1.40","$1.40","$1.40","$1.40","$1.03","2020-08-26 16:40:40.940076+10"
"ANZ","8","2","4","0","1","$26.20","$20.41","$11.90","$20.64","$18.54","2020-08-26 16:40:41.113281+10"
"ARF","","","","","","","","","","","2020-08-26 16:40:41.239007+10"
"BOQ","1","0","8","2","2","$10.17","$8.17","$5.99","$8.16","$6.10","2020-08-26 16:40:42.92108+10"
"BPT","9","1","5","0","1","$2.25","$1.94","$1.25","$1.86","$1.54","2020-08-26 16:40:43.312601+10"
"BGA","2","0","4","0","0","$5.90","$5.00","$4.17","$5.12","$4.86","2020-08-26 16:40:44.752323+10"
"BGL","4","0","0","0","0","$1.45","$1.36","$1.30","$1.37","$1.00","2020-08-26 16:40:45.512523+10"
"BEN","0","1","7","2","4","$7.73","$6.70","$3.90","$6.59","$6.49","2020-08-26 16:40:45.57549+10"
"BHP","7","0","6","1","0","$67.42","$57.89","$44.14","$56.97","$38.02","2020-08-26 16:40:46.551626+10"
"BKL","0","0","0","0","0"," "," "," "," ","$67.81","2020-08-26 16:40:47.347621+10"
"BSL","6","1","4","0","0","$17.80","$13.55","$11.50","$13.91","$12.78","2020-08-26 16:40:48.519321+10"
"BLD","2","0","6","0","2","$5.00","$4.05","$3.25","$3.96","$3.76","2020-08-26 16:40:49.080314+10"
"BXB","7","0","5","0","0","$10.30","$8.77","$7.08","$8.74","$11.18","2020-08-26 16:40:50.327841+10"
"BRG","4","0","5","2","1","$30.35","$26.40","$16.90","$26.00","$27.60","2020-08-26 16:40:52.179151+10"
"BKW","3","2","0","0","0","$19.00","$17.88","$17.80","$18.10","$18.03","2020-08-26 16:40:53.756139+10"
